subject,list,object,objectPair,condition,responses,afc,pas,pas2
1,1,124,100,2,frame,1,3,3
1,1,86,29,3,rope,0,3,3
1,1,161,163,2,magnifying glass,1,3,3
1,1,181,184,4,clipboard,1,3,3
1,1,107,64,1,lid,0,NA,NA
1,1,118,115,4,no idea,0,3,3
1,1,3,6,3,no idea,0,3,1
1,1,177,179,1,rug,0,NA,NA
1,1,163,161,2,moccasin,1,3,3
1,1,179,177,1,tape,0,NA,NA
1,1,184,181,4,no idea,1,3,3
1,1,64,107,1,clock,1,0,NA
1,1,29,86,3,candle holder,1,2,2
1,1,115,118,4,puzzle piece,1,3,3
1,1,6,3,3,pillow,1,1,1
1,1,100,124,2,magnifying glass,0,3,3
1,2,37,112,3,comb,1,3,3
1,2,102,110,1,coat,0,NA,NA
1,2,111,125,4,pacifer,1,2,3
1,2,166,129,1,noidea,1,3,0
1,2,137,28,2,flask,1,3,3
1,2,183,185,2,no idea,0,NA,3
1,2,189,19,4,pen,1,1,3
1,2,85,25,3,nail,1,3,3
1,2,25,85,3,calulator,1,1,1
1,2,19,189,4,braclet,1,3,3
1,2,112,37,3,rack,1,3,3
1,2,28,137,2,candle,0,3,3
1,2,185,183,2,microphone,0,3,3
1,2,125,111,4,corkscrew,1,NA,3
1,2,129,166,1,rope,1,3,0
1,2,110,102,1,purse,0,NA,NA
1,3,61,121,3,wine glass,0,3,3
1,3,30,69,1,cane,0,3,3
1,3,31,47,4,cellphone,1,3,3
1,3,192,133,2,ladder,1,3,3
1,3,147,146,3,no idea,1,0,NA
1,3,66,95,1,no  idea,1,0,NA
1,3,52,26,4,deodorant,1,3,3
1,3,126,167,2,no idea,0,3,3
1,3,47,31,4,dice,1,1,2
1,3,69,30,1,umbrella,0,3,3
1,3,133,192,2,guitar,1,NA,NA
1,3,167,126,2,flashlight,0,3,3
1,3,26,52,4,camera,0,3,3
1,3,121,61,3,mug,1,NA,NA
1,3,95,66,1,cleat,0,3,3
1,3,146,147,3,no idea,1,3,3
1,4,139,14,2,binoculars,0,2,3
1,4,155,141,1,no idea,0,3,3
1,4,113,76,3,table,1,NA,1
1,4,99,56,4,saw,1,3,2
1,4,34,4,3,no idea,0,3,NA
1,4,80,50,2,sun dial,1,3,3
1,4,7,119,1,battery,0,3,3
1,4,187,2,4,coat,1,NA,1
1,4,50,80,2,dresser,1,3,1
1,4,4,34,3,shirt,1,3,3
1,4,14,139,2,binoculars,1,3,NA
1,4,141,155,1,no idea,0,NA,0
1,4,76,113,3,no idea,1,3,1
1,4,119,7,1,no idea,0,NA,3
1,4,2,187,4,bookbag,1,3,3
1,4,56,99,4,no idea,1,3,NA
1,5,98,78,1,no idea,0,2,3
1,5,32,122,2,chain,1,1,1
1,5,88,40,3,pan,1,3,3
1,5,71,20,4,no idea,1,1,1
1,5,143,128,4,boot,1,NA,NA
1,5,103,11,1,no idea,0,3,3
1,5,44,43,2,crib,1,NA,0
1,5,150,156,3,no idea,1,3,3
1,5,128,143,4,life jacket,1,NA,NA
1,5,20,71,4,breif case,1,3,3
1,5,78,98,1,sweater,1,1,1
1,5,156,150,3,ice tray,1,3,3
1,5,11,103,1,no idea,0,0,0
1,5,122,32,2,fishhook,1,3,3
1,5,40,88,3,no idea,0,3,3
1,5,43,44,2,crayon,1,1,1
1,6,104,1,1,pin,0,1,1
1,6,13,16,3,folder binder,1,3,3
1,6,165,45,4,mouse trap,1,3,0
1,6,154,176,4,ladle,1,0,3
1,6,72,89,3,towel,1,NA,3
1,6,62,123,1,watering can,0,1,0
1,6,174,131,2,glove,0,3,0
1,6,79,59,2,glasses,1,3,3
1,6,123,62,1,chairl,1,3,3
1,6,131,174,2,glove,1,3,NA
1,6,1,104,1,kettle,0,1,1
1,6,89,72,3,sponge,1,3,3
1,6,59,79,2,keys,1,0,NA
1,6,176,154,4,paper clip,1,1,3
1,6,45,165,4,wood engraving,1,3,0
1,6,16,13,3,book,1,NA,0
1,7,145,15,2,noidea,0,3,3
1,7,58,74,4,disc,0,0,0
1,7,188,186,2,vinyl,1,0,1
1,7,60,191,1,cord,0,3,3
1,7,117,135,4,no idea,0,0,1
1,7,172,170,1,notebook,1,1,3
1,7,90,57,3,speaker,1,NA,0
1,7,53,23,3,no idea,1,3,3
1,7,135,117,4,no idea,0,3,3
1,7,186,188,2,lamp,1,0,NA
1,7,23,53,3,bucket,1,NA,NA
1,7,170,172,1,no idea,1,1,1
1,7,15,145,2,boat,1,3,3
1,7,74,58,4,tire,1,0,1
1,7,57,90,3,modem,1,3,3
1,7,191,60,1,hose,0,3,3
1,8,151,97,1,key,1,NA,1
1,8,157,33,4,axe,1,1,3
1,8,39,18,3,mouse,1,3,NA
1,8,159,162,3,no idea,1,NA,NA
1,8,81,96,1,no idea,1,3,2
1,8,73,68,2,no idea,1,0,1
1,8,8,153,2,bed,1,3,3
1,8,144,140,4,marker,1,3,3
1,8,18,39,3,no idea,0,1,3
1,8,33,157,4,chair,1,3,3
1,8,153,8,2,no idea,1,0,1
1,8,68,73,2,vade,1,1,3
1,8,96,81,1,truck,1,3,NA
1,8,140,144,4,hammer,1,3,3
1,8,162,159,3,shovel,1,1,3
1,8,97,151,1,scissor,1,3,0
2,1,86,29,4,candle,0,3,3
2,1,107,64,2,magnifying glass,0,3,3
2,1,124,100,3,magnifying glass,1,3,3
2,1,181,184,1,rug,1,NA,NA
2,1,161,163,3,peb,1,3,3
2,1,177,179,2,athletic tape,1,3,3
2,1,3,6,4,bowl,1,3,3
2,1,118,115,1,glove,1,NA,NA
2,1,179,177,2,athletic tape,0,3,3
2,1,163,161,3,boot,1,2,2
2,1,100,124,3,satellite,1,2,3
2,1,184,181,1,belt,1,0,NA
2,1,64,107,2,clock,1,3,3
2,1,115,118,1,chair,0,0,0
2,1,6,3,4,bathtub,1,3,3
2,1,29,86,4,candlestick,1,3,3
